Topic 0
Topic coherence: -297.927108147
AVG: -1.5680374113
SD:  0.633567675076
dlrs tender  0.00920621591633     -3.02305175333/-328.370720479
mln outstanding  0.00879274668922     -2.88728056533/-328.370720479
bid dlrs  0.00844419758061     -2.77282724341/-328.370720479
corp tender  0.00842888854851     -2.76780020551/-328.370720479
oil tender  0.00842371758657     -2.76610221301/-328.370720479
company tender  0.00840256466232     -2.75915621204/-328.370720479
lt oil  0.00831235778452     -2.72953491458/-328.370720479
bid corp  0.00809834699347     -2.65926003693/-328.370720479
outstanding price  0.00808888124709     -2.65615176297/-328.370720479
lt outstanding  0.00807570762213     -2.65182593025/-328.370720479
common oil  0.00804959164453     -2.64325020788/-328.370720479
bid pct  0.00801603553663     -2.63223136454/-328.370720479
oil share  0.00801197354321     -2.63089752484/-328.370720479
common mln  0.00794214154887     -2.60796674255/-328.370720479
make outstanding  0.00793835073106     -2.60672194897/-328.370720479
dlrs stake  0.00786388618793     -2.58226997329/-328.370720479
price tender  0.00781298303296     -2.56555486762/-328.370720479
pct tender  0.00775105643964     -2.54521998756/-328.370720479
dlrs outstanding  0.00773227700719     -2.53905337179/-328.370720479
stake tender  0.00768318820173     -2.52293404538/-328.370720479
lt stake  0.0076575188993     -2.51450499804/-328.370720479
oil stock  0.00758284051389     -2.48998280282/-328.370720479
bid price  0.00758216513526     -2.48976102825/-328.370720479
hold mln  0.00758061020811     -2.48925043571/-328.370720479
group tender  0.00755788006566     -2.48178652245/-328.370720479
corp oil  0.0075286489422     -2.47218787738/-328.370720479
corp outstanding  0.0075286489422     -2.47218787738/-328.370720479
hold lt  0.00750627935633     -2.46484236035/-328.370720479
bid company  0.007479786338     -2.45614282884/-328.370720479
buy oil  0.00738460675339     -2.42488864006/-328.370720479
bid oil  0.00720188746695     -2.36488897633/-328.370720479
lt offer  0.00717128939422     -2.35484146514/-328.370720479
offer oil  0.00712904406516     -2.340969336/-328.370720479
mln oil  0.0070917514672     -2.32872353874/-328.370720479
dlrs hold  0.00699260405979     -2.29616643313/-328.370720479
outstanding pct  0.00688404416796     -2.26051854324/-328.370720479
share tender  0.00686976564362     -2.25582989391/-328.370720479
common price  0.00683665089532     -2.24495598016/-328.370720479
common lt  0.0068361892873     -2.2448044016/-328.370720479
group oil  0.00682752855647     -2.24196047118/-328.370720479
lt price  0.0068220139079     -2.24014962205/-328.370720479
company outstanding  0.00679266635497     -2.23051274495/-328.370720479
corp hold  0.00678907859996     -2.22933463125/-328.370720479
bid share  0.00677112257415     -2.22343839812/-328.370720479
bid group  0.00676108217123     -2.22014142378/-328.370720479
common dlrs  0.00672341827845     -2.20777370417/-328.370720479
oil stake  0.00671983395459     -2.20659671717/-328.370720479
dlrs oil  0.00664516116266     -2.18207635868/-328.370720479
