Topic 0
Topic coherence: -79.0087313903
AVG: -1.75574958645
SD:  1.16281162322
mln unknown  0.00727880045308     -0.916290731874/-125.884853937
mln thailand  0.00687133845282     -0.864997437487/-125.884853937
cyacq dixons  0.00664295980053     -0.836248024201/-125.884853937
dixons mln  0.00664295980053     -0.836248024201/-125.884853937
cyacq cyclops  0.00571254320493     -0.719122666963/-125.884853937
cyacq mln  0.00550619998261     -0.69314718056/-125.884853937
cpc ferruzzi  0.00550619998261     -0.69314718056/-125.884853937
cyclops dixons  0.00235346673469     -0.296265816143/-125.884853937
cpc mln  0.0019963833648     -0.251314428281/-125.884853937
mln yr  0.000441433972529     -0.0555698511548/-125.884853937

Topic 8
Topic coherence: -113.023331063
AVG: -2.51162957919
SD:  1.8446233851
bank three-for-two  0.0584299167479     -6.6039438246/-113.023331063
reserve three-for-two  0.0570440262367     -6.44730586254/-113.023331063
fed stg  0.0521032065055     -5.88887795833/-113.023331063
stg three-for-two  0.0521032065055     -5.88887795833/-113.023331063
feed three-for-two  0.0473517996959     -5.35185813348/-113.023331063
customer three-for-two  0.0471824599673     -5.33271879327/-113.023331063
customer stg  0.0459704268923     -5.19573077777/-113.023331063
fed three-for-two  0.0457971790769     -5.17614973257/-113.023331063
mln three-for-two  0.0431307816343     -4.87478461168/-113.023331063
repurchase three-for-two  0.0392026739714     -4.43081679884/-113.023331063
money three-for-two  0.0374622342552     -4.2341065046/-113.023331063
repurchase stg  0.0348863174725     -3.94296780928/-113.023331063
reserve stg  0.0308872748015     -3.49098268553/-113.023331063
feed stg  0.0289534608563     -3.2724165918/-113.023331063
bank repurchase  0.028337038139     -3.20274644294/-113.023331063
mln money  0.0264055596814     -2.98444431378/-113.023331063
feed money  0.0204146849508     -2.30733569575/-113.023331063
repurchase reserve  0.0195817919815     -2.21319935794/-113.023331063
customer money  0.018021782831     -2.03688192726/-113.023331063
bank feed  0.0175588728877     -1.98456230349/-113.023331063
money reserve  0.015296018751     -1.72880699125/-113.023331063
fed money  0.0136127962109     -1.53856357285/-113.023331063
fed mln  0.0131589669537     -1.48727027846/-113.023331063
customer feed  0.0131004555311     -1.48065712257/-113.023331063
fed reserve  0.0129504167596     -1.46369924083/-113.023331063
bank customer  0.0125699337869     -1.42069578784/-113.023331063
bank money  0.0120992882523     -1.36750186177/-113.023331063
feed repurchase  0.0118959947083     -1.34452494824/-113.023331063
money repurchase  0.0109016755187     -1.23214368129/-113.023331063
customer fed  0.0108105549323     -1.22184492909/-113.023331063
mln repurchase  0.0105477190901     -1.19213834668/-113.023331063
feed reserve  0.010018731687     -1.1323504283/-113.023331063
customer repurchase  0.00998047184826     -1.12802617387/-113.023331063
fed feed  0.009390969832     -1.06139869233/-113.023331063
fed repurchase  0.00928140533162     -1.04901534753/-113.023331063
customer mln  0.00922163010337     -1.04225935212/-113.023331063
customer reserve  0.00910125095751     -1.02865370006/-113.023331063
money stg  0.00870265608561     -0.983603179894/-113.023331063
feed mln  0.00847089684754     -0.957408978804/-113.023331063
bank fed  0.00833494482169     -0.942043227977/-113.023331063
bank reserve  0.00791293504806     -0.89434627762/-113.023331063
bank stg  0.00748033908981     -0.845452841414/-113.023331063
bank mln  0.00672780920908     -0.760399407569/-113.023331063
mln reserve  0.00625988407619     -0.707512950362/-113.023331063
mln stg  0.00134755947662     -0.152305660854/-113.023331063

Topic 9
Topic coherence: -60.9458030313
AVG: -1.35435117847
SD:  1.17779975534
bp money  0.0904975005859     -5.51544284554/-60.9458030313
bp stg  0.0738784850353     -4.50258359721/-60.9458030313
bp revise  0.0703979474836     -4.29045944115/-60.9458030313
bp england  0.0635187464659     -3.87120101091/-60.9458030313
england pct  0.0561267315347     -3.42068872491/-60.9458030313
bank bp  0.037111055823     -2.26176309847/-60.9458030313
money revise  0.0331267320086     -2.01893528407/-60.9458030313
revise stg  0.0327677635028     -1.99705766022/-60.9458030313
market mln  0.0311901892729     -1.90091113194/-60.9458030313
england revise  0.0259642036258     -1.58240924005/-60.9458030313
billion mln  0.0255018498637     -1.55423071873/-60.9458030313
bank pct  0.0237794341033     -1.44925670706/-60.9458030313
billion pct  0.0224226267149     -1.36656499121/-60.9458030313
market pct  0.0214881096507     -1.30961009829/-60.9458030313
england money  0.021384823611     -1.30331524766/-60.9458030313
billion market  0.0211859564614     -1.29119512953/-60.9458030313
bp market  0.0190850026081     -1.16315080981/-60.9458030313
bank revise  0.0182523743305     -1.1124056108/-60.9458030313
billion england  0.0177865158113     -1.08401348925/-60.9458030313
